keyword,overview,tone_hint,cta
"RTX4090 電源容量","初心者でも失敗しない電源選びを解説","安心感＋オタク深掘り","/best-psu/"
"ゲーミングPC 冷却性能","CPU・GPUの温度管理を徹底解説","技術的詳細＋実用性重視","/cooling-guide/"
"RTX4080 vs RTX4090","性能差とコストパフォーマンスを比較","客観的比較＋推奨","/gpu-comparison/"
"ゲーミングPC メモリ選び","DDR4 vs DDR5の違いと選び方","初心者向け解説＋専門性","/memory-guide/"
"SSD 選び方 ゲーミング","読み込み速度と容量の最適化","実用性重視＋コスト意識","/ssd-guide/"
"ゲーミングPC ケース選び","サイズと冷却性能のバランス","実用性＋デザイン性","/case-guide/"
"CPU 選び方 ゲーミング","Intel vs AMDの比較と選び方","客観的比較＋推奨","/cpu-guide/"
"マザーボード 選び方","チップセットと拡張性の解説","技術的詳細＋実用性","/motherboard-guide/"
"ゲーミングPC 予算別","10万円・20万円・30万円の構成例","予算別解説＋推奨","/budget-pc/"
"オーバークロック 入門","安全なOCの基本と手順","安全第一＋ステップアップ","/overclock-guide/" 